id,type,text1,text2,text3,notes
,,,,,
,,,,,
,,,,,
,,,,,
####################,,,,,
##                ##,,,,,
##     SHIPS      ##,,,,,
##                ##,,,,,
####################,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
# FRIGATES,,,,,
# FRIGATES,,,,,
# FRIGATES,,,,,
,,,,,
,,,,,
# SHEAR,,,,,
,,,,,
,,,,,
diableavionics_shear,SHIP,"A modified tug flying Diable Avionics' colors that sports a small turret for self-defense. Additionally, that ship being somewhat armored can help with debris clearing during salvage operations, increasing the potential loot obtained.

Being a piece of construction equipment with a bit of flair, most crews that operate Shear tugs are merely conscripted workers and are rarely taught how to operate the ship's sole turret. Instead the weapon controls have been relegated to basic fire control A.I. to the chagrin of those aboard. The crew of these tugs often call themselves Ricers from an age-old tradition of receiving an extra stipend of rice rations before sorties, this has led to many tug crews calling their rides Rice Rockets.",,,
,,,,,
,,,,,
# LAMINAR,,,,,
,,,,,
,,,,,
diableavionics_laminar,SHIP,"Built upon the same chassis as the Shear, the Laminar-class mining frigate can operate in the harshest environments, breaking apart large ore asteroids then tugging the richest chunks to the nearest smelting station.",,,
,,,,,
,,,,,
# DRAFT,,,,,
,,,,,
,,,,,
diableavionics_draft,SHIP,"A frigate with a solid frontal profile, capable of absorbing a large amount of damage for its class. The broadside-facing missile mounts slightly limit its load-out options.

The Draft-class frigate is often used as a trainer for green officers that failed their aggressiveness evaluation. While not exactly intended for straight-forward assault roles, it is capable of using its Arcus ablative armor mounted on the prow to absorb tremendous punishment while carrying out its attack run. Through rigorously training them to the art of positioning and orienting their ship to maximize the damage dealt to a target while limiting the impacts received to the hull itself, many commanders hope that their fledgling officers will learn to embrace a proper offensive combat doctrine.",,,
,,,,,
,,,,,
# VAPOR,,,,,
,,,,,
,,,,,
diableavionics_vapor,SHIP,"A nimble ultralight frigate chassis with a heavy frontal armament. Capable of disrupting fleet operations easily despite its sub-par point defense weapon mounts. 

A relatively recent design dating mere decades before the Great Collapse, this model is shoehorned with advanced technology on a thoroughly stripped-down Neo-titanium chassis. With its 16 pressurized plasma nozzles strewn across the hull for high acceleration evasive maneuvers, the ultralight frame can barely hold together under the stress of combat and needs close inspection after every sortie.

As this is a first response interceptor, one can find little fault in the design choices, barring the lack of any real point defense mounts. Despite this caveat, it remains one of the more capable frigate designs in locking down fugitives and enemies alike while reinforcements catch up steadily.",,,
,,,,,
,,,,,
# SLEET,,,,,
,,,,,
,,,,,
diableavionics_sleet,SHIP,"A solidly built frigate formerly used to carry trans-atmospheric missions. Its relatively large bay could just as well be configured to hold troops with some light vehicles, bombs or aid and supplies. Since the Collapse it has been used more as a long-range reconnaissance craft with some support capabilities, a role that suits the Sleet-class well given their survivability.

The Sleet-class used to be a best-seller item from the Diable Avionics catalog due to its versatility and reasonable logistical overhead. But even if the Diable Avionics Corporation had not been driven into exile, it would not be the case anymore after the Collapse: in the current vastly more dangerous environment every edge count, and Sleets have fallen from ""Jack of all trades"" into ""Master of none"". Designed to fit low-intensity combat environments and asymmetrical warfare, their bigger redeeming qualities in the modern battlespace are their survivability and somewhat reasonable cargo space that makes them attractive as a first ship purchase for the prospecting starfarer.",,,
,,,,,
,,,,,
